CAPITAL,"$ 8,175,926.25",plazo,24,TNA,53.90%,,,T.E.M.,4.49%,78.83%,,CAPITAL,"$ 8,175,926.25",plazo,36,TNA,53.90%,,,T.E.M.,4.49%,,CAPITAL,"$ 8,175,926.25",plazo,48,TNA,53.90%,,,T.E.M.,4.49%
CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,59.56%,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO
,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,4.96%,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA
,,IVA,10.5%,,Promedio,"$ 586,968.40",,,,"-$ 8,175,926.25",,,,IVA,10.5%,,,"$ 474,637.44",,,,,,,IVA,10.5%,,," $  2,207,531.55 ",,,
20,"$ 2,474,606.93","$ 111,151.09","$ 11,670.86","$ 2,585,758.02","$ 563,563.87","$ 575,234.74","$ 452,412.78","$ 6,153,732.10","$ 2,022,194.15","$575,234.74",,20,"$ 5,415,556.65","$ 243,248.75","$ 25,541.12","$ 5,658,805.40","$ 462,290.42","$ 487,831.54","$ 219,041.67","$ 2,979,411.27","$ 5,196,514.98",,20,"$ 6,702,912.97","$ 301,072.51","$ 31,612.61","$ 7,003,985.48","$ 417,959.49","$ 449,572.11","$ 116,886.99","$ 1,589,900.26","$ 6,586,025.99"
21,"$ 2,022,194.15","$ 90,830.22","$ 9,537.17","$ 2,113,024.37","$ 563,563.87","$ 573,101.05","$ 472,733.65","$ 6,626,465.75","$ 1,549,460.50","$573,101.05",,21,"$ 5,196,514.98","$ 233,410.13","$ 24,508.06","$ 5,429,925.11","$ 462,290.42","$ 486,798.48","$ 228,880.29","$ 3,208,291.56","$ 4,967,634.69",,21,"$ 6,586,025.99","$ 295,822.33","$ 31,061.35","$ 6,881,848.32","$ 417,959.49","$ 449,020.84","$ 122,137.16","$ 1,712,037.42","$ 6,463,888.83"
22,"$ 1,549,460.50","$ 69,596.60","$ 7,307.64","$ 1,619,057.10","$ 563,563.87","$ 570,871.52","$ 493,967.27","$ 7,120,433.03","$ 1,055,493.22","$570,871.52",,22,"$ 4,967,634.69","$ 223,129.59","$ 23,428.61","$ 5,190,764.28","$ 462,290.42","$ 485,719.03","$ 239,160.83","$ 3,447,452.39","$ 4,728,473.86",,22,"$ 6,463,888.83","$ 290,336.34","$ 30,485.32","$ 6,754,225.17","$ 417,959.49","$ 448,444.81","$ 127,623.15","$ 1,839,660.58","$ 6,336,265.67"
23,"$ 1,055,493.22","$ 47,409.24","$ 4,977.97","$ 1,102,902.46","$ 563,563.87","$ 568,541.84","$ 516,154.64","$ 7,636,587.67","$ 539,338.58","$568,541.84",,23,"$ 4,728,473.86","$ 212,387.28","$ 22,300.66","$ 4,940,861.15","$ 462,290.42","$ 484,591.08","$ 249,903.14","$ 3,697,355.52","$ 4,478,570.73",,23,"$ 6,336,265.67","$ 284,603.93","$ 29,883.41","$ 6,620,869.60","$ 417,959.49","$ 447,842.91","$ 133,355.56","$ 1,973,016.14","$ 6,202,910.11"
24,"$ 539,338.58","$ 24,225.29","$ 2,543.66","$ 563,563.87","$ 563,563.87","$ 566,107.53","$ 539,338.58","$ 8,175,926.25",$ 0.00,"$566,107.53",,24,"$ 4,478,570.73","$ 201,162.47","$ 21,122.06","$ 4,679,733.20","$ 462,290.42","$ 483,412.48","$ 261,127.95","$ 3,958,483.47","$ 4,217,442.78",,24,"$ 6,202,910.11","$ 278,614.05","$ 29,254.47","$ 6,481,524.16","$ 417,959.49","$ 447,213.97","$ 139,345.45","$ 2,112,361.59","$ 6,063,564.66"
25,$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 563,563.87","$ 563,563.87","$ 563,563.87","$ 8,739,490.12","-$ 563,563.87","$563,563.87",,25,"$ 4,217,442.78","$ 189,433.47","$ 19,890.51","$ 4,406,876.25","$ 462,290.42","$ 482,180.93","$ 272,856.95","$ 4,231,340.42","$ 3,944,585.83",,25,"$ 6,063,564.66","$ 272,355.11","$ 28,597.29","$ 6,335,919.78","$ 417,959.49","$ 446,556.78","$ 145,604.38","$ 2,257,965.97","$ 5,917,960.28"
26,"-$ 563,563.87","-$ 25,313.41","-$ 2,657.91","-$ 588,877.29","$ 563,563.87","$ 560,905.97","$ 588,877.29","$ 9,328,367.41","-$ 1,152,441.16","$560,905.97",,26,"$ 3,944,585.83","$ 177,177.65","$ 18,603.65","$ 4,121,763.48","$ 462,290.42","$ 480,894.07","$ 285,112.77","$ 4,516,453.19","$ 3,659,473.06",,26,"$ 5,917,960.28","$ 265,815.05","$ 27,910.58","$ 6,183,775.33","$ 417,959.49","$ 445,870.07","$ 152,144.44","$ 2,410,110.41","$ 5,765,815.84"
27,"-$ 1,152,441.16","-$ 51,763.82","-$ 5,435.20","-$ 1,204,204.98","$ 563,563.87","$ 558,128.67","$ 615,327.69","$ 9,943,695.10","-$ 1,767,768.85","$558,128.67",,27,"$ 3,659,473.06","$ 164,371.33","$ 17,258.99","$ 3,823,844.39","$ 462,290.42","$ 479,549.41","$ 297,919.09","$ 4,814,372.28","$ 3,361,553.97",,27,"$ 5,765,815.84","$ 258,981.23","$ 27,193.03","$ 6,024,797.07","$ 417,959.49","$ 445,152.52","$ 158,978.27","$ 2,569,088.68","$ 5,606,837.57"
28,"-$ 1,767,768.85","-$ 79,402.28","-$ 8,337.24","-$ 1,847,171.14","$ 563,563.87","$ 555,226.64","$ 642,966.16","$ 10,586,661.26","-$ 2,410,735.01","$555,226.64",,28,"$ 3,361,553.97","$ 150,989.80","$ 15,853.93","$ 3,512,543.77","$ 462,290.42","$ 478,144.35","$ 311,300.62","$ 5,125,672.90","$ 3,050,253.35",,28,"$ 5,606,837.57","$ 251,840.45","$ 26,443.25","$ 5,858,678.03","$ 417,959.49","$ 444,402.74","$ 166,119.04","$ 2,735,207.72","$ 5,440,718.53"
29,"-$ 2,410,735.01","-$ 108,282.18","-$ 11,369.63","-$ 2,519,017.19","$ 563,563.87","$ 552,194.25","$ 671,846.06","$ 11,258,507.32","-$ 3,082,581.07","$552,194.25",,29,"$ 3,050,253.35","$ 137,007.21","$ 14,385.76","$ 3,187,260.56","$ 462,290.42","$ 476,676.18","$ 325,283.21","$ 5,450,956.11","$ 2,724,970.14",,29,"$ 5,440,718.53","$ 244,378.94","$ 25,659.79","$ 5,685,097.47","$ 417,959.49","$ 443,619.28","$ 173,580.55","$ 2,908,788.27","$ 5,267,137.98"
